Year,CountryOrigin,CountryOriginISO,CountryAsylum,CountryAsylumISO,Female0-4,Female5-11,Female12-17,Female18-59,Female60,FemaleOther,FemaleTotal,Male0-4,Male0-4,Male5-11,Male12-17,Male18-59,Male60,MaleOther,Total
2022,India,IND,Egypt,EGY,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2022,Iraq,IRQ,Egypt,EGY,43,249,351,1823,331,0,2797,39,235,359,1878,367,0,2878,5675
2022,Jordan,JOR,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18
2022,Kenya,KEN,Egypt,EGY,7,0,0,6,0,0,13,0,5,0,0,0,0,5,18
2022,Libya,LBY,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10
2022,Lebanon,LBN,Egypt,EGY,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2022,Mali,MLI,Egypt,EGY,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
2022,Nigeria,NGA,Egypt,EGY,5,6,5,60,0,0,76,10,6,0,48,0,0,64,140
2022,Russian Federation,RUS,Egypt,EGY,0,0,5,0,0,0,5,0,0,5,9,0,0,14,19
2022,Rwanda,RWA,Egypt,EGY,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Saudi Arabia,SAU,Egypt,EGY,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2022,Sierra Leone,SLE,Egypt,EGY,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10
2022,Somalia,SOM,Egypt,EGY,240,339,384,2524,126,0,3613,263,338,421,1759,43,0,2824,6437
2022,South Sudan,SSD,Egypt,EGY,1311,2091,1789,6983,205,0,12379,1374,2255,1721,6549,68,0,11967,24346
2022,Stateless,XXA,Egypt,EGY,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5
2022,Sudan,SDN,Egypt,EGY,3189,4936,4008,14843,437,0,27413,3222,5175,4870,16895,662,0,30824,58237
2022,Syrian Arab Rep.,SYR,Egypt,EGY,6153,11666,9542,37095,3933,0,68389,6557,12097,10660,44093,3862,0,77269,145658
2022,United Rep. of Tanzania,TZA,Egypt,EGY,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2022,Tajikistan,TJK,Egypt,EGY,0,0,10,5,0,0,15,0,0,0,6,0,0,6,21
2022,Turkmenistan,TKM,Egypt,EGY,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2022,Tunisia,TUN,Egypt,EGY,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Türkiye,TUR,Egypt,EGY,11,33,19,86,10,0,159,12,36,12,106,11,0,177,336
2022,Uganda,UGA,Egypt,EGY,0,5,0,15,0,0,20,0,0,0,5,0,0,5,25
2022,Ukraine,UKR,Egypt,EGY,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Uzbekistan,UZB,Egypt,EGY,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8
2022,Yemen,YEM,Egypt,EGY,245,637,622,2648,222,0,4374,254,680,677,1984,186,0,3781,8155
2022,Zimbabwe,ZWE,Egypt,EGY,0,0,5,23,0,0,28,0,6,0,13,0,0,19,47
2022,Afghanistan,AFG,Argentina,ARG,0,6,0,5,0,0,11,0,0,6,5,0,0,11,22
2022,Albania,ALB,Argentina,ARG,0,0,0,5,5,0,10,0,0,0,8,0,0,8,18
2022,Algeria,DZA,Argentina,ARG,0,0,0,6,0,0,6,0,0,0,40,6,0,46,52
2022,Angola,AGO,Argentina,ARG,0,0,0,5,0,0,5,0,5,0,9,0,0,14,29
2022,Egypt,EGY,Argentina,ARG,0,0,0,12,0,0,12,0,0,0,10,0,0,10,27
2022,Armenia,ARM,Argentina,ARG,0,0,9,51,17,0,77,0,7,6,82,13,0,108,246
2022,Burundi,BDI,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Bangladesh,BGD,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,62,0,0,62,96
2022,Belarus,BLR,Argentina,ARG,0,5,0,9,0,0,14,0,0,0,5,0,0,5,19
2022,Bolivia (Plurinational State of),BOL,Argentina,ARG,0,0,8,33,10,0,51,0,5,5,45,11,0,66,117
2022,Brazil,BRA,Argentina,ARG,0,0,0,9,0,0,9,0,5,0,9,0,0,14,23
2022,Bosnia and Herzegovina,BIH,Argentina,ARG,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6
2022,China,CHN,Argentina,ARG,0,0,0,11,0,0,11,0,0,0,33,0,0,33,121
2022,Chile,CHL,Argentina,ARG,0,0,0,24,0,0,24,0,0,0,7,10,0,17,41
2022,Cameroon,CMR,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,31,0,0,31,49
2022,Dem. Rep. of the Congo,COD,Argentina,ARG,0,0,0,13,0,0,13,0,0,0,20,0,0,20,55
2022,Colombia,COL,Argentina,ARG,9,5,17,291,42,0,364,5,5,25,380,37,0,452,856
2022,Costa Rica,CRI,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Cuba,CUB,Argentina,ARG,0,6,5,236,45,0,292,0,13,7,451,48,0,519,1091
2022,Cabo Verde,CPV,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Czechia,CZE,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Dominican Rep.,DOM,Argentina,ARG,0,0,5,216,0,0,221,0,0,8,156,0,0,164,510
2022,Ecuador,ECU,Argentina,ARG,9,0,5,10,0,0,24,0,8,6,11,0,0,25,49
2022,Eritrea,ERI,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,7,0,0,7,12
2022,Ethiopia,ETH,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Gambia,GMB,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Palestinian,PSE,Argentina,ARG,0,0,0,8,0,0,8,0,0,5,21,0,0,26,34
2022,Georgia,GEO,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Ghana,GHA,Argentina,ARG,0,0,0,23,0,0,23,0,0,0,88,0,0,88,181
2022,Guinea-Bissau,GNB,Argentina,ARG,0,0,0,8,0,0,8,0,0,0,0,0,0,0,13
2022,Guatemala,GTM,Argentina,ARG,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8
2022,Guinea,GIN,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,10,0,0,10,20
2022,Haiti,HTI,Argentina,ARG,0,8,6,197,5,0,216,0,7,10,215,5,0,237,688
2022,Honduras,HND,Argentina,ARG,0,0,0,5,0,0,5,0,0,0,10,0,0,10,15
2022,Hungary,HUN,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Cote d'Ivoire,CIV,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,20,0,0,20,25
2022,India,IND,Argentina,ARG,0,0,0,16,0,0,16,0,0,5,59,5,0,69,151
2022,Iran (Islamic Rep. of),IRN,Argentina,ARG,0,0,0,6,7,0,13,0,0,0,16,6,0,22,35
2022,Iraq,IRQ,Argentina,ARG,0,0,0,6,0,0,6,0,0,0,15,5,0,20,26
2022,Jamaica,JAM,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,14,0,0,14,14
2022,Jordan,JOR,Argentina,ARG,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10
2022,Kazakhstan,KAZ,Argentina,ARG,5,0,0,14,0,0,19,0,0,0,18,0,0,18,42
2022,Kyrgyzstan,KGZ,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Liberia,LBR,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,31,11,0,42,42
2022,Libya,LBY,Argentina,ARG,0,0,0,0,0,0,0,0,5,0,5,0,0,10,10
