Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1995,Algeria,DZA,Netherlands (Kingdom of the),NLD,39
1995,Algeria,DZA,United States of America,USA,101
1995,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,133
1995,Angola,AGO,Netherlands (Kingdom of the),NLD,818
1995,Angola,AGO,United States of America,USA,33
1995,Egypt,EGY,Netherlands (Kingdom of the),NLD,61
1995,Egypt,EGY,United States of America,USA,301
1995,Argentina,ARG,Netherlands (Kingdom of the),NLD,5
1995,Armenia,ARM,Netherlands (Kingdom of the),NLD,84
1995,Armenia,ARM,United States of America,USA,527
1995,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,24
1995,Azerbaijan,AZE,United States of America,USA,81
1995,Burundi,BDI,Netherlands (Kingdom of the),NLD,19
1995,Burundi,BDI,United States of America,USA,146
1995,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,25
1995,Bangladesh,BGD,Netherlands (Kingdom of the),NLD,43
1995,Bangladesh,BGD,United States of America,USA,493
1995,Burkina Faso,BFA,Netherlands (Kingdom of the),NLD,5
1995,Belarus,BLR,Netherlands (Kingdom of the),NLD,5
1995,Belarus,BLR,United States of America,USA,19
1995,Bolivia (Plurinational State of),BOL,Netherlands (Kingdom of the),NLD,5
1995,Bolivia (Plurinational State of),BOL,United States of America,USA,14
1995,Brazil,BRA,United States of America,USA,21
1995,Bosnia and Herzegovina,BIH,Malaysia,MYS,16
1995,Bosnia and Herzegovina,BIH,Netherlands (Kingdom of the),NLD,18299
1995,Bosnia and Herzegovina,BIH,United States of America,USA,19413
1995,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,39
1995,Bulgaria,BGR,Netherlands (Kingdom of the),NLD,63
1995,Bulgaria,BGR,United States of America,USA,1011
1995,Cambodia,KHM,Netherlands (Kingdom of the),NLD,95
1995,Cambodia,KHM,United States of America,USA,55
1995,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,283
1995,China,CHN,Netherlands (Kingdom of the),NLD,805
1995,China,CHN,United States of America,USA,2120
1995,Chile,CHL,Netherlands (Kingdom of the),NLD,166
1995,Cameroon,CMR,Netherlands (Kingdom of the),NLD,15
1995,Cameroon,CMR,United States of America,USA,304
1995,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,264
1995,Dem. Rep. of the Congo,COD,Malaysia,MYS,5
1995,Dem. Rep. of the Congo,COD,Netherlands (Kingdom of the),NLD,548
1995,Dem. Rep. of the Congo,COD,United States of America,USA,791
1995,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,159
1995,Colombia,COL,Netherlands (Kingdom of the),NLD,13
1995,Colombia,COL,United States of America,USA,250
1995,Cuba,CUB,Netherlands (Kingdom of the),NLD,5
1995,Cuba,CUB,United States of America,USA,21519
1995,Czechia,CZE,Netherlands (Kingdom of the),NLD,47
1995,Czechia,CZE,United States of America,USA,188
1995,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,10
1995,Ecuador,ECU,United States of America,USA,12
1995,Equatorial Guinea,GNQ,Netherlands (Kingdom of the),NLD,5
1995,Eritrea,ERI,Netherlands (Kingdom of the),NLD,7
1995,Eritrea,ERI,United States of America,USA,5
1995,Estonia,EST,United States of America,USA,15
1995,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,5045
1995,Ethiopia,ETH,Netherlands (Kingdom of the),NLD,2645
1995,Ethiopia,ETH,United States of America,USA,13305
1995,French Guiana,GUF,Netherlands (Kingdom of the),NLD,5
1995,Fiji,FJI,United States of America,USA,194
1995,Gambia,GMB,Netherlands (Kingdom of the),NLD,6
1995,Gambia,GMB,United States of America,USA,72
1995,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,10
1995,Georgia,GEO,Netherlands (Kingdom of the),NLD,85
1995,Georgia,GEO,United States of America,USA,84
1995,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,504
1995,Ghana,GHA,Netherlands (Kingdom of the),NLD,113
1995,Ghana,GHA,United States of America,USA,203
1995,Guinea-Bissau,GNB,Netherlands (Kingdom of the),NLD,5
1995,Guatemala,GTM,United States of America,USA,1928
1995,Guinea,GIN,Netherlands (Kingdom of the),NLD,60
1995,Guinea,GIN,United States of America,USA,45
1995,Haiti,HTI,Netherlands (Kingdom of the),NLD,5
1995,Haiti,HTI,United States of America,USA,9279
1995,Honduras,HND,United States of America,USA,360
1995,Croatia,HRV,Netherlands (Kingdom of the),NLD,617
1995,Croatia,HRV,United States of America,USA,133
1995,Hungary,HUN,Netherlands (Kingdom of the),NLD,62
1995,Hungary,HUN,United States of America,USA,53
1995,Cote d'Ivoire,CIV,Netherlands (Kingdom of the),NLD,10
1995,Cote d'Ivoire,CIV,United States of America,USA,77
1995,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,940
1995,India,IND,Netherlands (Kingdom of the),NLD,36
1995,India,IND,United States of America,USA,2328
1995,Indonesia,IDN,Malaysia,MYS,9
1995,Indonesia,IDN,Netherlands (Kingdom of the),NLD,140
1995,Indonesia,IDN,United States of America,USA,6
1995,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,3397
1995,Iran (Islamic Rep. of),IRN,Malaysia,MYS,15
1995,Iran (Islamic Rep. of),IRN,Netherlands (Kingdom of the),NLD,8131
1995,Iran (Islamic Rep. of),IRN,United States of America,USA,9936
1995,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,4208
1995,Iraq,IRQ,Malaysia,MYS,19
1995,Iraq,IRQ,Netherlands (Kingdom of the),NLD,8658
1995,Iraq,IRQ,United States of America,USA,17985
1995,Israel,ISR,Netherlands (Kingdom of the),NLD,13
1995,Israel,ISR,United States of America,USA,66
1995,Jamaica,JAM,United States of America,USA,5
1995,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Jordan,JOR,Netherlands (Kingdom of the),NLD,13
1995,Jordan,JOR,United States of America,USA,165
1995,Kazakhstan,KAZ,United States of America,USA,17
1995,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,35
1995,Kenya,KEN,United States of America,USA,41
1995,Kyrgyzstan,KGZ,United States of America,USA,6
1995,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Kuwait,KWT,Netherlands (Kingdom of the),NLD,5
1995,Kuwait,KWT,United States of America,USA,69
1995,Lao People's Dem. Rep.,LAO,Netherlands (Kingdom of the),NLD,5
1995,Lao People's Dem. Rep.,LAO,United States of America,USA,33786
1995,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,115
1995,Liberia,LBR,Netherlands (Kingdom of the),NLD,470
1995,Liberia,LBR,United States of America,USA,3768
1995,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,20
1995,Libya,LBY,Netherlands (Kingdom of the),NLD,10
1995,Libya,LBY,United States of America,USA,374
1995,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,1551
1995,Lebanon,LBN,Netherlands (Kingdom of the),NLD,294
1995,Lebanon,LBN,United States of America,USA,423
1995,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,11499
1995,Sri Lanka,LKA,Malaysia,MYS,5
1995,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,1716
1995,Sri Lanka,LKA,United States of America,USA,229
1995,Lithuania,LTU,Netherlands (Kingdom of the),NLD,5
1995,Lithuania,LTU,United States of America,USA,13
1995,Latvia,LVA,Netherlands (Kingdom of the),NLD,5
1995,Latvia,LVA,United States of America,USA,19
1995,Mauritania,MRT,Netherlands (Kingdom of the),NLD,41
1995,Mauritania,MRT,United States of America,USA,296
1995,North Macedonia,MKD,Netherlands (Kingdom of the),NLD,6
1995,North Macedonia,MKD,United States of America,USA,13
1995,Rep. of Moldova,MDA,Netherlands (Kingdom of the),NLD,5
1995,Rep. of Moldova,MDA,United States of America,USA,15
1995,Mexico,MEX,United States of America,USA,105
1995,Mali,MLI,Netherlands (Kingdom of the),NLD,5
1995,Mali,MLI,United States of America,USA,23
1995,Malawi,MWI,Netherlands (Kingdom of the),NLD,5
1995,Morocco,MAR,Netherlands (Kingdom of the),NLD,35
1995,Mozambique,MOZ,United States of America,USA,21
1995,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15
1995,Myanmar,MMR,Malaysia,MYS,5117
1995,Myanmar,MMR,Netherlands (Kingdom of the),NLD,12
1995,Myanmar,MMR,United States of America,USA,642
1995,Nepal,NPL,United States of America,USA,17
1995,Netherlands (Kingdom of the),NLD,United States of America,USA,5
1995,Niger,NER,Netherlands (Kingdom of the),NLD,7
1995,Niger,NER,United States of America,USA,79
1995,Nicaragua,NIC,Netherlands (Kingdom of the),NLD,5
1995,Nicaragua,NIC,United States of America,USA,2577
1995,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,29
1995,Nigeria,NGA,Netherlands (Kingdom of the),NLD,54
1995,Nigeria,NGA,United States of America,USA,184
1995,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,769
1995,Pakistan,PAK,Netherlands (Kingdom of the),NLD,126
1995,Pakistan,PAK,United States of America,USA,1074
1995,Panama,PAN,Netherlands (Kingdom of the),NLD,5
1995,Panama,PAN,United States of America,USA,14
1995,Paraguay,PRY,Netherlands (Kingdom of the),NLD,5
1995,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,20
1995,Peru,PER,Netherlands (Kingdom of the),NLD,36
1995,Peru,PER,United States of America,USA,1684
1995,Philippines,PHL,Netherlands (Kingdom of the),NLD,6
1995,Philippines,PHL,United States of America,USA,224
1995,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Poland,POL,Netherlands (Kingdom of the),NLD,197
1995,Poland,POL,United States of America,USA,572
1995,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,79
1995,Romania,ROU,Netherlands (Kingdom of the),NLD,312
1995,Romania,ROU,United States of America,USA,7171
1995,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,20
1995,South Africa,ZAF,Netherlands (Kingdom of the),NLD,72
1995,South Africa,ZAF,United States of America,USA,43
1995,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,154
1995,Russian Federation,RUS,Netherlands (Kingdom of the),NLD,790
1995,Russian Federation,RUS,United States of America,USA,194956
1995,Rwanda,RWA,Netherlands (Kingdom of the),NLD,45
1995,Rwanda,RWA,United States of America,USA,285
1995,El Salvador,SLV,Netherlands (Kingdom of the),NLD,11
1995,El Salvador,SLV,United States of America,USA,871
1995,Saudi Arabia,SAU,United States of America,USA,5
1995,Senegal,SEN,United States of America,USA,31
1995,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,25
1995,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,40
1995,Sierra Leone,SLE,Netherlands (Kingdom of the),NLD,90
1995,Sierra Leone,SLE,United States of America,USA,218
1995,Solomon Islands,SLB,Netherlands (Kingdom of the),NLD,34
1995,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,11197
1995,Somalia,SOM,Malaysia,MYS,61
1995,Somalia,SOM,Netherlands (Kingdom of the),NLD,12154
1995,Somalia,SOM,United States of America,USA,11414
1995,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,2320
1995,Serbia and Kosovo: S/RES/1244 (1999),SRB,Netherlands (Kingdom of the),NLD,5401
1995,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,1445
1995,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Viet Nam,VNM,Netherlands (Kingdom of the),NLD,1729
1995,Viet Nam,VNM,United States of America,USA,201816
1995,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,86
1995,Stateless,XXA,Netherlands (Kingdom of the),NLD,256
1995,Stateless,XXA,United States of America,USA,11
1995,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,1845
1995,Sudan,SDN,Netherlands (Kingdom of the),NLD,422
1995,Sudan,SDN,United States of America,USA,4223
1995,Suriname,SUR,Netherlands (Kingdom of the),NLD,798
1995,Suriname,SUR,United States of America,USA,5
1995,Slovakia,SVK,Netherlands (Kingdom of the),NLD,8
1995,Slovakia,SVK,United States of America,USA,9
1995,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Syrian Arab Rep.,SYR,Netherlands (Kingdom of the),NLD,1274
1995,Syrian Arab Rep.,SYR,United States of America,USA,2394
1995,United Rep. of Tanzania,TZA,Netherlands (Kingdom of the),NLD,11
1995,Tajikistan,TJK,Netherlands (Kingdom of the),NLD,6
1995,Tajikistan,TJK,United States of America,USA,11
1995,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR,5
1995,Togo,TGO,Netherlands (Kingdom of the),NLD,44
1995,Togo,TGO,United States of America,USA,93
1995,Tunisia,TUN,Netherlands (Kingdom of the),NLD,16
1995,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,5637
1995,Türkiye,TUR,Netherlands (Kingdom of the),NLD,1910
1995,Türkiye,TUR,United States of America,USA,45
1995,Tuvalu,TUV,Netherlands (Kingdom of the),NLD,5
1995,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,3849
1995,Uganda,UGA,Netherlands (Kingdom of the),NLD,32
1995,Uganda,UGA,United States of America,USA,313
1995,Unknown ,UNK,Australia,AUS,62145
1995,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,35706
1995,Unknown ,UNK,Malaysia,MYS,8
1995,Unknown ,UNK,Netherlands (Kingdom of the),NLD,5839
1995,Unknown ,UNK,United States of America,USA,38901
1995,Ukraine,UKR,Netherlands (Kingdom of the),NLD,133
1995,Ukraine,UKR,United States of America,USA,520
1995,Uzbekistan,UZB,United States of America,USA,64
1995,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,10
1995,Yemen,YEM,Netherlands (Kingdom of the),NLD,6
1995,Yemen,YEM,United States of America,USA,58
1995,Zambia,ZMB,United States of America,USA,5
1995,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Afghanistan,AFG,Australia,AUS,2199
1996,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,1260
1996,Afghanistan,AFG,Malaysia,MYS,36
1996,Afghanistan,AFG,Netherlands (Kingdom of the),NLD,7830
1996,Afghanistan,AFG,United States of America,USA,3804
1996,Albania,ALB,Australia,AUS,42
1996,Albania,ALB,Netherlands (Kingdom of the),NLD,101
1996,Albania,ALB,United States of America,USA,2611
1996,Algeria,DZA,Australia,AUS,23
1996,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,70
1996,Algeria,DZA,Netherlands (Kingdom of the),NLD,108
1996,Algeria,DZA,United States of America,USA,209
1996,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,165
1996,Angola,AGO,Netherlands (Kingdom of the),NLD,1072
1996,Angola,AGO,United States of America,USA,19
1996,Egypt,EGY,Australia,AUS,161
1996,Egypt,EGY,Netherlands (Kingdom of the),NLD,72
1996,Egypt,EGY,United States of America,USA,458
1996,Argentina,ARG,Netherlands (Kingdom of the),NLD,5
1996,Argentina,ARG,United States of America,USA,5
1996,Armenia,ARM,Australia,AUS,50
1996,Armenia,ARM,Netherlands (Kingdom of the),NLD,353
1996,Armenia,ARM,United States of America,USA,904
1996,Austria,AUT,Australia,AUS,5
1996,Azerbaijan,AZE,Australia,AUS,12
1996,Azerbaijan,AZE,Netherlands (Kingdom of the),NLD,99
1996,Azerbaijan,AZE,United States of America,USA,219
1996,Burundi,BDI,Netherlands (Kingdom of the),NLD,69
1996,Burundi,BDI,United States of America,USA,257
1996,Bangladesh,BGD,Australia,AUS,18
1996,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,25
1996,Bangladesh,BGD,Netherlands (Kingdom of the),NLD,55
1996,Bangladesh,BGD,United States of America,USA,855
1996,Bhutan,BTN,Netherlands (Kingdom of the),NLD,8
1996,Burkina Faso,BFA,Netherlands (Kingdom of the),NLD,6
1996,Belarus,BLR,Australia,AUS,51
1996,Belarus,BLR,Netherlands (Kingdom of the),NLD,10
1996,Belarus,BLR,United States of America,USA,49
1996,Bolivia (Plurinational State of),BOL,Netherlands (Kingdom of the),NLD,5
1996,Bolivia (Plurinational State of),BOL,United States of America,USA,28
1996,Brazil,BRA,Australia,AUS,11
1996,Brazil,BRA,United States of America,USA,46
1996,Bosnia and Herzegovina,BIH,Australia,AUS,3502
1996,Bosnia and Herzegovina,BIH,Malaysia,MYS,23
1996,Bosnia and Herzegovina,BIH,Netherlands (Kingdom of the),NLD,22042
1996,Bosnia and Herzegovina,BIH,United States of America,USA,31656
1996,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,37
1996,Bulgaria,BGR,Netherlands (Kingdom of the),NLD,65
1996,Bulgaria,BGR,United States of America,USA,501
1996,Cambodia,KHM,Australia,AUS,1857
1996,Cambodia,KHM,Netherlands (Kingdom of the),NLD,104
1996,Cambodia,KHM,United States of America,USA,67
1996,Canada,CAN,United States of America,USA,5
1996,China,CHN,Australia,AUS,539
1996,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,296
1996,China,CHN,Netherlands (Kingdom of the),NLD,1079
1996,China,CHN,United States of America,USA,2477
1996,Chile,CHL,Australia,AUS,6
1996,Chile,CHL,Netherlands (Kingdom of the),NLD,134
1996,Cameroon,CMR,Netherlands (Kingdom of the),NLD,18
1996,Cameroon,CMR,United States of America,USA,423
1996,Dem. Rep. of the Congo,COD,Australia,AUS,23
1996,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,313
1996,Dem. Rep. of the Congo,COD,Netherlands (Kingdom of the),NLD,1104
1996,Dem. Rep. of the Congo,COD,United States of America,USA,929
1996,Colombia,COL,Australia,AUS,13
1996,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,168
1996,Colombia,COL,Netherlands (Kingdom of the),NLD,16
1996,Colombia,COL,United States of America,USA,407
1996,Cuba,CUB,Netherlands (Kingdom of the),NLD,6
1996,Cuba,CUB,United States of America,USA,21865
1996,Czechia,CZE,Netherlands (Kingdom of the),NLD,46
1996,Czechia,CZE,United States of America,USA,32
1996,Djibouti,DJI,Australia,AUS,5
1996,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,10
1996,Ecuador,ECU,United States of America,USA,19
1996,Equatorial Guinea,GNQ,Netherlands (Kingdom of the),NLD,5
1996,Eritrea,ERI,Australia,AUS,518
1996,Eritrea,ERI,Netherlands (Kingdom of the),NLD,26
1996,Eritrea,ERI,United States of America,USA,23
1996,Estonia,EST,Netherlands (Kingdom of the),NLD,5
1996,Estonia,EST,United States of America,USA,53
1996,Ethiopia,ETH,Australia,AUS,1816
1996,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,5036
1996,Ethiopia,ETH,Netherlands (Kingdom of the),NLD,2496
1996,Ethiopia,ETH,United States of America,USA,10230
1996,French Guiana,GUF,Netherlands (Kingdom of the),NLD,5
1996,Fiji,FJI,Australia,AUS,5
1996,Fiji,FJI,United States of America,USA,283
1996,France,FRA,Australia,AUS,5
1996,France,FRA,United States of America,USA,7
1996,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR,20
1996,Gambia,GMB,Netherlands (Kingdom of the),NLD,8
1996,Gambia,GMB,United States of America,USA,173
1996,Palestinian,PSE,Australia,AUS,25
1996,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA,28
1996,Georgia,GEO,Australia,AUS,8
1996,Georgia,GEO,Netherlands (Kingdom of the),NLD,323
1996,Georgia,GEO,United States of America,USA,185
1996,Germany,DEU,Australia,AUS,18
1996,Germany,DEU,United States of America,USA,5
1996,Ghana,GHA,Australia,AUS,7
1996,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,471
1996,Ghana,GHA,Netherlands (Kingdom of the),NLD,116
1996,Ghana,GHA,United States of America,USA,292
1996,Guinea-Bissau,GNB,Netherlands (Kingdom of the),NLD,5
1996,Greece,GRC,Australia,AUS,5
1996,Guatemala,GTM,Australia,AUS,14
1996,Guatemala,GTM,United States of America,USA,3037
1996,Guinea,GIN,Netherlands (Kingdom of the),NLD,83
1996,Guinea,GIN,United States of America,USA,99
1996,Guyana,GUY,United States of America,USA,7
1996,Haiti,HTI,Netherlands (Kingdom of the),NLD,5
1996,Haiti,HTI,United States of America,USA,11008
1996,Honduras,HND,Australia,AUS,8
1996,Honduras,HND,United States of America,USA,551
1996,Croatia,HRV,Australia,AUS,1076
1996,Croatia,HRV,Netherlands (Kingdom of the),NLD,742
1996,Croatia,HRV,United States of America,USA,211
1996,Hungary,HUN,Netherlands (Kingdom of the),NLD,51
1996,Hungary,HUN,United States of America,USA,58
1996,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,15
1996,Cote d'Ivoire,CIV,Netherlands (Kingdom of the),NLD,11
1996,Cote d'Ivoire,CIV,United States of America,USA,129
1996,India,IND,Australia,AUS,82
1996,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,960
1996,India,IND,Netherlands (Kingdom of the),NLD,37
1996,India,IND,United States of America,USA,4396
1996,Indonesia,IDN,Australia,AUS,991
1996,Indonesia,IDN,Malaysia,MYS,9
1996,Indonesia,IDN,Netherlands (Kingdom of the),NLD,103
1996,Indonesia,IDN,United States of America,USA,6
1996,Iran (Islamic Rep. of),IRN,Australia,AUS,1763
1996,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,3196
1996,Iran (Islamic Rep. of),IRN,Malaysia,MYS,8
1996,Iran (Islamic Rep. of),IRN,Netherlands (Kingdom of the),NLD,9423
1996,Iran (Islamic Rep. of),IRN,United States of America,USA,8988
1996,Iraq,IRQ,Australia,AUS,9724
1996,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,4671
1996,Iraq,IRQ,Malaysia,MYS,26
1996,Iraq,IRQ,Netherlands (Kingdom of the),NLD,13969
1996,Iraq,IRQ,United States of America,USA,20617
1996,Israel,ISR,Australia,AUS,147
1996,Israel,ISR,Netherlands (Kingdom of the),NLD,22
1996,Israel,ISR,United States of America,USA,69
1996,Jamaica,JAM,United States of America,USA,8
1996,Jordan,JOR,Australia,AUS,10
1996,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Jordan,JOR,Netherlands (Kingdom of the),NLD,19
1996,Jordan,JOR,United States of America,USA,197
1996,Kazakhstan,KAZ,Australia,AUS,14
1996,Kazakhstan,KAZ,Netherlands (Kingdom of the),NLD,5
1996,Kazakhstan,KAZ,United States of America,USA,52
1996,Kenya,KEN,Australia,AUS,21
1996,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,55
1996,Kenya,KEN,Netherlands (Kingdom of the),NLD,5
1996,Kenya,KEN,United States of America,USA,70
1996,Kyrgyzstan,KGZ,United States of America,USA,18
1996,Rep. of Korea,KOR,Australia,AUS,7
1996,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1996,Kuwait,KWT,Australia,AUS,41
1996,Kuwait,KWT,Netherlands (Kingdom of the),NLD,10
1996,Kuwait,KWT,United States of America,USA,103
1996,Lao People's Dem. Rep.,LAO,Australia,AUS,291
1996,Lao People's Dem. Rep.,LAO,United States of America,USA,26746
1996,Liberia,LBR,Australia,AUS,5
1996,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,185
1996,Liberia,LBR,Netherlands (Kingdom of the),NLD,761
1996,Liberia,LBR,United States of America,USA,4609
1996,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,20
1996,Libya,LBY,Netherlands (Kingdom of the),NLD,20
1996,Libya,LBY,United States of America,USA,31
1996,Lebanon,LBN,Australia,AUS,78
1996,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,1645
1996,Lebanon,LBN,Netherlands (Kingdom of the),NLD,343
1996,Lebanon,LBN,United States of America,USA,450
1996,Sri Lanka,LKA,Australia,AUS,1177
1996,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,10036
1996,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,1850
1996,Sri Lanka,LKA,United States of America,USA,301
1996,Lithuania,LTU,Australia,AUS,6
1996,Lithuania,LTU,Netherlands (Kingdom of the),NLD,11
1996,Lithuania,LTU,United States of America,USA,14
1996,Latvia,LVA,Australia,AUS,11
1996,Latvia,LVA,Netherlands (Kingdom of the),NLD,6
1996,Latvia,LVA,United States of America,USA,41
1996,Mauritania,MRT,Netherlands (Kingdom of the),NLD,76
1996,Mauritania,MRT,United States of America,USA,815
1996,North Macedonia,MKD,Australia,AUS,10
1996,North Macedonia,MKD,Netherlands (Kingdom of the),NLD,33
1996,North Macedonia,MKD,United States of America,USA,28
1996,Rep. of Moldova,MDA,Australia,AUS,60
1996,Rep. of Moldova,MDA,Netherlands (Kingdom of the),NLD,14
1996,Rep. of Moldova,MDA,United States of America,USA,40
1996,Mexico,MEX,United States of America,USA,203
1996,Mali,MLI,Netherlands (Kingdom of the),NLD,6
1996,Mali,MLI,United States of America,USA,37
1996,Malaysia,MYS,Australia,AUS,18
1996,Malawi,MWI,Netherlands (Kingdom of the),NLD,5
1996,Malawi,MWI,United States of America,USA,5
1996,Mongolia,MNG,United States of America,USA,5
1996,Morocco,MAR,Australia,AUS,5
1996,Morocco,MAR,Netherlands (Kingdom of the),NLD,39
1996,Morocco,MAR,United States of America,USA,5
1996,Mozambique,MOZ,United States of America,USA,9
1996,Myanmar,MMR,Australia,AUS,1612
1996,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15
1996,Myanmar,MMR,Malaysia,MYS,5114
1996,Myanmar,MMR,Netherlands (Kingdom of the),NLD,23
1996,Myanmar,MMR,United States of America,USA,810
1996,Nepal,NPL,Australia,AUS,6
1996,Nepal,NPL,United States of America,USA,24
1996,Netherlands (Kingdom of the),NLD,United States of America,USA,5
1996,Niger,NER,Netherlands (Kingdom of the),NLD,9
1996,Niger,NER,United States of America,USA,148
1996,Nicaragua,NIC,Australia,AUS,21
1996,Nicaragua,NIC,Netherlands (Kingdom of the),NLD,5
1996,Nicaragua,NIC,United States of America,USA,2364
1996,Nigeria,NGA,Australia,AUS,5
1996,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,54
1996,Nigeria,NGA,Netherlands (Kingdom of the),NLD,69
1996,Nigeria,NGA,United States of America,USA,451
1996,Pakistan,PAK,Australia,AUS,129
1996,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,780
1996,Pakistan,PAK,Netherlands (Kingdom of the),NLD,170
1996,Pakistan,PAK,United States of America,USA,1687
1996,Panama,PAN,Netherlands (Kingdom of the),NLD,5
1996,Panama,PAN,United States of America,USA,21
1996,Paraguay,PRY,Netherlands (Kingdom of the),NLD,5
1996,Peru,PER,Australia,AUS,75
1996,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,20
1996,Peru,PER,Netherlands (Kingdom of the),NLD,36
1996,Peru,PER,United States of America,USA,2319
1996,Philippines,PHL,Australia,AUS,21
1996,Philippines,PHL,Netherlands (Kingdom of the),NLD,8
1996,Philippines,PHL,United States of America,USA,294
1996,Papua New Guinea,PNG,Netherlands (Kingdom of the),NLD,6
1996,Poland,POL,Australia,AUS,11
