Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum
2022,Burundi,BDI,Canada,CAN,740,387
2022,Burundi,BDI,Central African Rep.,CAF,24,0
2022,Burundi,BDI,Chad,TCD,6,0
2022,Burundi,BDI,Cameroon,CMR,55,21
2022,Burundi,BDI,Congo,COG,78,8
2022,Burundi,BDI,Dem. Rep. of the Congo,COD,43623,1496
2022,Burundi,BDI,Costa Rica,CRI,9,0
2022,Burundi,BDI,Cyprus,CYP,0,59
2022,Burundi,BDI,Czechia,CZE,5,0
2022,Burundi,BDI,Denmark,DNK,5,0
2022,Burundi,BDI,Ethiopia,ETH,64,67
2022,Burundi,BDI,Finland,FIN,7,0
2022,Burundi,BDI,France,FRA,2073,235
2022,Burundi,BDI,Gabon,GAB,5,0
2022,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,54,27
2022,Burundi,BDI,Germany,DEU,104,544
2022,Burundi,BDI,Ghana,GHA,14,15
2022,Burundi,BDI,Greece,GRC,84,8
2022,Burundi,BDI,Guinea,GIN,5,0
2022,Burundi,BDI,"China, Hong Kong SAR",HKG,9,0
2022,Burundi,BDI,Croatia,HRV,0,157
2022,Burundi,BDI,Cote d'Ivoire,CIV,34,0
2022,Burundi,BDI,India,IND,0,5
2022,Burundi,BDI,Ireland,IRL,26,12
2022,Burundi,BDI,Italy,ITA,6,0
2022,Burundi,BDI,Japan,JPN,9,0
2022,Burundi,BDI,Kenya,KEN,8159,16432
2022,Burundi,BDI,Rep. of Korea,KOR,49,40
2022,Burundi,BDI,Luxembourg,LUX,5,20
2022,Burundi,BDI,Mali,MLI,17,0
2022,Burundi,BDI,Malawi,MWI,6573,6632
2022,Burundi,BDI,Morocco,MAR,9,0
2022,Burundi,BDI,Mozambique,MOZ,946,8969
2022,Burundi,BDI,Namibia,NAM,359,125
2022,Burundi,BDI,Netherlands (Kingdom of the),NLD,77,23
2022,Burundi,BDI,Norway,NOR,31,0
2022,Burundi,BDI,Philippines,PHL,13,0
2022,Burundi,BDI,Romania,ROU,6,0
2022,Burundi,BDI,South Africa,ZAF,2360,4210
2022,Burundi,BDI,Rwanda,RWA,48367,53
2022,Burundi,BDI,Senegal,SEN,5,0
2022,Burundi,BDI,Spain,ESP,9,0
2022,Burundi,BDI,Serbia and Kosovo: S/RES/1244 (1999),SRB,9,46
2022,Burundi,BDI,South Sudan,SSD,301,583
2022,Burundi,BDI,Sudan,SDN,12,9
2022,Burundi,BDI,Slovakia,SVK,5,0
2022,Burundi,BDI,Slovenia,SVN,0,106
2022,Burundi,BDI,Eswatini,SWZ,187,100
2022,Burundi,BDI,Sweden,SWE,223,30
2022,Burundi,BDI,Switzerland,CHE,196,1068
2022,Burundi,BDI,United Rep. of Tanzania,TZA,155307,8976
2022,Burundi,BDI,Togo,TGO,5,0
2022,Burundi,BDI,Tunisia,TUN,8,0
2022,Burundi,BDI,Uganda,UGA,39104,1529
2022,Burundi,BDI,Ukraine,UKR,5,0
2022,Burundi,BDI,United States of America,USA,782,830
